num_keys,r,layers,epsilon,bucket,build_time,query_time,space,metadata,Z
10000000,2,2,0.1,32,4213623366,3336279806,22687872,687502,22000370
10000000,2,2,0.1,64,4213089769,3319549167,22344058,343752,22000306
10000000,2,2,0.1,128,4207664560,3311087746,22172038,171876,22000162
10000000,2,2,0.1,256,4217888193,3309718769,22086128,85938,22000190
10000000,2,2,0.15,32,4167343418,3330713893,23718754,718752,23000002
10000000,2,2,0.15,64,4170101677,3317465717,23359378,359376,23000002
10000000,2,2,0.15,128,4176641120,3316334561,23179690,179688,23000002
10000000,2,2,0.15,256,4177950583,3307922971,23089846,89844,23000002
10000000,2,2,0.2,32,4178637699,3335931242,24750004,750002,24000002
10000000,2,2,0.2,64,4151032702,3325488152,24375004,375002,24000002
10000000,2,2,0.2,128,4156063658,3315232828,24187504,187502,24000002
10000000,2,2,0.2,256,4148033606,3313101523,24093754,93752,24000002
10000000,2,3,-0.2,32,6376176021,3494465902,24323774,663034,23660740
10000000,2,3,-0.2,64,6331351207,3467566817,23664228,329678,23334550
10000000,2,3,-0.2,128,6207721804,3448500901,23161004,163434,22997570
10000000,2,3,-0.2,256,6152710472,3464814035,24097430,83778,24013652
10000000,2,3,-0.15,32,5809882609,3439418671,23436668,666802,22769866
10000000,2,3,-0.15,64,6062140551,3431242621,23114364,333476,22780888
10000000,2,3,-0.15,128,6094678773,3418975483,22810988,166090,22644898
10000000,2,3,-0.15,256,5918913157,3411704716,22668670,82764,22585906
10000000,2,3,-0.1,32,5425238211,3402112426,22553256,662366,21890890
10000000,2,3,-0.1,64,5773391718,3390833081,22338842,332500,22006342
10000000,2,3,-0.1,128,5856066423,3388277011,22279532,166810,22112722
10000000,2,3,-0.1,256,5749001911,3383509230,22188054,83364,22104690
10000000,2,3,-0.05,32,5100361694,3370110592,21619190,649284,20969906
10000000,2,3,-0.05,64,5395765691,3355330287,21381172,325786,21055386
10000000,2,3,-0.05,128,5512045144,3350555835,21386070,163928,21222142
10000000,2,3,-0.05,256,5551542413,3357093319,21530688,82670,21448018
10000000,2,3,0,32,4634548607,3338163697,20970670,635290,20335380
10000000,2,3,0,64,4759599581,3320532694,20668572,317890,20350682
10000000,2,3,0,128,4824880640,3317701379,20546524,159220,20387304
10000000,2,3,0,256,4832427577,3314946541,20556278,79942,20476336
10000000,2,3,0.05,32,4328973519,3327807283,21664952,656516,21008436
10000000,2,3,0.05,64,4338033819,3313670338,21335894,328246,21007648
10000000,2,3,0.05,128,4339412609,3307725767,21172752,164132,21008620
10000000,2,3,0.05,256,4345342836,3314051159,21092010,82072,21009938
10000000,2,3,0.1,32,4233612157,3333451515,22687640,687508,22000132
10000000,2,3,0.1,64,4216548111,3325087213,22343888,343756,22000132
10000000,2,3,0.1,128,4217008325,3317015251,22172010,171878,22000132
10000000,2,3,0.1,256,4186026963,3312899961,22086076,85940,22000136
10000000,2,3,0.15,32,4200949602,3327310470,23718754,718752,23000002
10000000,2,3,0.15,64,4164845664,3321775528,23359378,359376,23000002
10000000,2,3,0.15,128,4169833799,3321568375,23179690,179688,23000002
10000000,2,3,0.15,256,4178058133,3316974040,23089846,89844,23000002
10000000,2,3,0.2,32,4177266770,3329410470,24750004,750002,24000002
10000000,2,3,0.2,64,4160730093,3317538790,24375004,375002,24000002
10000000,2,3,0.2,128,4150598945,3317832966,24187504,187502,24000002
10000000,2,3,0.2,256,4156398575,3308890412,24093754,93752,24000002
10000000,2,4,-0.2,32,6087422837,3505670957,24393098,716094,23677004
10000000,2,4,-0.2,64,6333658661,3481103761,23795780,355126,23440654
10000000,2,4,-0.2,128,6182847100,3462537394,23222376,175078,23047298
10000000,2,4,-0.2,256,6122160556,3529246353,24229456,90918,24138538
10000000,2,4,-0.15,32,5845703969,3488602311,23508512,701298,22807214
10000000,2,4,-0.15,64,6083420585,3447138103,23169296,350812,22818484
10000000,2,4,-0.15,128,6071276137,3426748101,22847832,174428,22673404
10000000,2,4,-0.15,256,5804516171,3423478211,22630400,86790,22543610
10000000,2,4,-0.1,32,5451031841,3402608892,22577186,680404,21896782
10000000,2,4,-0.1,64,5771017906,3395493316,22340324,341766,21998558
10000000,2,4,-0.1,128,5848527818,3435752958,22296704,171740,22124964
10000000,2,4,-0.1,256,5881909496,3435447190,22206996,85856,22121140
10000000,2,4,-0.05,32,5126233958,3388496062,21605644,654208,20951436
10000000,2,4,-0.05,64,6234025189,3407723198,21374128,328522,21045606
