num_keys,bucket_size,leaf_size,bits_per_key,build_time,hashing_time,bijection_time,splitting_time,bucket_time,splitting_tree,unary,fixed,bucket_prefixes
1e+06,500,4,2.54201,1730060292,1671219684,119501165,1001630599,74442765,2524704,1371171,1153533,17305
1e+06,500,4,2.54134,1738012779,1668083066,120737038,1007056191,74921454,2524095,1370654,1153441,17243
1e+06,500,4,2.51628,1743879065,1677258807,120629354,1010169824,73624286,2499068,1345668,1153400,17211
1e+06,750,4,2.56677,2012231402,1786399584,120261789,1237288722,70242703,2555444,1405227,1150217,11328
1e+06,750,4,2.56931,2021975846,1785341860,121590992,1245626822,70186810,2558006,1407767,1150239,11307
1e+06,750,4,2.55193,2007838085,1790805745,121650035,1232048491,69904495,2540157,1389922,1150235,11771
1e+06,750,4,2.55221,2011843771,1778398362,122517637,1234635218,70382110,2540860,1390636,1150224,11349
1e+06,750,4,2.53006,1931323519,1776628193,122950098,1180694997,48185655,2518728,1368494,1150234,11328
1e+06,1000,4,2.578,2177771851,1844447628,120540771,1402860582,71644910,2569143,1409583,1159560,8860
1e+06,1000,4,2.5769,2164598003,1848024796,121625125,1388073033,70749760,2568123,1408555,1159568,8774
1e+06,1000,4,2.55741,2174560735,1841266089,121352809,1399933922,71092731,2548545,1388979,1159566,8868
1e+06,1000,4,2.56234,2159277470,1857424950,122545200,1383316214,66298897,2553425,1393842,1159583,8915
1e+06,1000,4,2.54281,2137946500,1838865168,123439765,1383301042,50170566,2533962,1374355,1159607,8852
1e+06,1250,4,2.58199,2377870613,1892773802,121467779,1565031967,71329964,2574834,1421085,1153749,7152
1e+06,1250,4,2.58275,2409123908,1899620964,123227900,1597851044,70539214,2575537,1421776,1153761,7215
1e+06,1250,4,2.56698,2413758357,1889416006,123229006,1601500539,71479742,2559885,1406139,1153746,7096
1e+06,1250,4,2.56636,2366996652,1893368914,123754997,1555318100,70724887,2559285,1405586,1153699,7071
1e+06,1250,4,2.54797,2362705760,1893670597,124458150,1549244230,70781600,2540914,1387110,1153804,7052
1e+06,1500,4,2.58459,2538929132,1946137371,121672803,1714522291,68204286,2578539,1424355,1154184,6054
1e+06,1500,4,2.58274,2556011244,1948605947,123079906,1745457733,48587707,2576761,1422574,1154187,5981
1e+06,1500,4,2.56929,2537431820,1934957049,123440191,1710060447,68648929,2563242,1409077,1154165,6044
1e+06,1500,4,2.57073,2526795276,1946820039,124566295,1694133883,68768648,2564728,1410534,1154194,6007
1e+06,1500,4,2.54907,2581480614,1939586435,124574253,1752849775,68742725,2542996,1388810,1154186,6075
1e+06,1750,4,2.59097,2687430396,1986053097,121941286,1857545202,67583719,2585733,1426559,1159174,5238
1e+06,1750,4,2.58662,2713317925,1978865278,123206023,1886403681,67973419,2581466,1422253,1159213,5157
1e+06,1750,4,2.57233,2706683510,1979906267,123473181,1874283267,67538661,2567195,1408014,1159181,5135
1e+06,1750,4,2.57209,2699061360,1974979482,124439964,1868712377,67972210,2566778,1407577,1159201,5309
1e+06,1750,4,2.55107,2765496069,1978328303,124827432,1928686828,67826295,2545781,1386590,1159191,5287
1e+06,2000,4,2.59183,2914970177,2021345970,121692706,2081842114,68141279,2587013,1424430,1162583,4820
1e+06,2000,4,2.5931,2939115069,2025102480,122657082,2109006698,66759753,2588296,1425643,1162653,4804
1e+06,2000,4,2.57548,2840553018,2027464680,122843483,2005706376,68484393,2570676,1408038,1162638,4808
1e+06,2000,4,2.57995,2760950613,2020912818,124087500,1950179752,51616745,2575055,1412442,1162613,4896
1e+06,2000,4,2.55746,2873790283,2020082592,124457053,2038270634,69038337,2552664,1390036,1162628,4798
1e+06,100,5,2.03038,1195980644,1184569360,199028987,579967508,84856346,1957840,766221,1191619,72538
1e+06,100,5,2.03007,1201257224,1185509324,200606879,580603421,84483055,1957842,766371,1191471,72225
1e+06,100,5,2.02569,1194731875,1175033570,202450840,571609980,84094393,1955029,763421,1191608,70663
1e+06,100,5,2.0279,1178230117,1183516831,201030616,559201638,83834656,1955046,763529,1191517,72850
1e+06,100,5,2.02242,1183139671,1174749032,201906896,563982770,84401473,1951440,759761,1191679,70975
1e+06,250,5,2.03208,1544188070,1404856411,206276625,844437706,79163569,2000537,779974,1220563,31539
1e+06,250,5,2.02801,1535806250,1390720240,206638794,834263312,78435424,1996845,776186,1220659,31164
1e+06,250,5,2.03089,1523044637,1404993377,208090436,822946619,78953709,1998974,778338,1220636,31914
1e+06,250,5,2.02815,1545678594,1406205680,206826421,846685622,79059415,1996671,776073,1220598,31476
1e+06,250,5,2.0245,1547294463,1383805221,208108340,847562080,79310163,1993461,772827,1220634,31039
1e+06,500,5,2.03508,1917491198,1552069609,209175027,1163312464,75855100,2019041,788074,1230967,16039
1e+06,500,5,2.03473,1911002607,1552937776,210072626,1157107025,73668940,2017422,786466,1230956,17305
1e+06,500,5,2.03442,1904340441,1554812351,210928095,1153605187,74279864,2017113,786138,1230975,17305
1e+06,500,5,2.03272,1873125369,1546285605,210714834,1127473908,73464020,2015472,784530,1230942,17243
1e+06,500,5,2.03072,1877027699,1546812460,211561827,1125531315,73220466,2013510,782548,1230962,17211
1e+06,750,5,2.03845,2154394460,1647872105,211162832,1378383036,70158813,2027122,792151,1234971,11328
1e+06,750,5,2.03802,2150428069,1653283093,212715647,1370579450,70468201,2026708,791685,1235023,11307
1e+06,750,5,2.03719,2129914333,1645723219,212743753,1353016004,69952122,2025421,790436,1234985,11771
