num_keys,bucket_size,leaf_size,total_bits,build_time,hashing_time,bijection_time,splitting_time,splitting_tree,unary,fixed,bucket_prefixes,burr
1e+06,1000,20,1764034,3919981332,1758334171,633097853,2178853911,722384,243320,479064,8875,1032775
1e+06,1500,20,1763787,4547791196,1835488395,634961060,2760465286,725752,244555,481197,6007,1032028
1e+06,1500,20,1764265,4521864574,1837193195,636870742,2731752199,725683,244524,481159,6091,1032491
1e+06,2000,20,1763088,5065549501,1897790672,639518282,3242724338,726838,244786,482052,4551,1031699
1e+06,2000,20,1763566,5056945863,1932006717,641769828,3200756325,727378,245327,482051,4540,1031648
1e+06,10,22,2184869,957406768,781400715,304392323,65515,628045,387514,240531,525036,1031788
1e+06,10,22,2185176,934907597,777308817,301510865,101677,627038,386477,240561,525036,1033102
1e+06,50,22,1808289,1718277472,1073798336,726395758,240581168,644186,232465,411721,132537,1031566
1e+06,50,22,1813392,1709544115,1089029800,724374699,236378261,643687,231970,411717,137538,1032167
1e+06,100,22,1768329,2063451684,1245806861,761836072,452927767,665331,219217,446114,71288,1031710
1e+06,100,22,1769491,2064802241,1248227204,763790240,452822462,664768,218693,446075,73163,1031560
1e+06,500,22,1740573,3235125202,1581417534,797183472,1421731502,692477,216779,475698,16070,1032026
1e+06,500,22,1740767,3226679780,1601245676,791928879,1418019561,690738,215005,475733,17243,1032786
1e+06,1000,22,1739349,4079568336,1747687531,803744621,2180954347,697698,216375,481323,8813,1032838
1e+06,1000,22,1738243,4009085331,1754547945,793989506,2122145977,696898,215605,481293,8875,1032470
1e+06,1500,22,1737787,4628512590,1820199320,799602326,2696596421,699025,216735,482290,6007,1032755
1e+06,1500,22,1738011,4654872859,1817571426,799721801,2722350435,699467,217165,482302,6091,1032453
1e+06,2000,22,1736095,5225188340,1897430627,804476814,3241615274,700329,216116,484213,4551,1031215
1e+06,2000,22,1738070,5241357772,1889985030,799836829,3265301113,701018,216835,484183,4540,1032512
1e+06,10,24,2184779,923051463,780775488,299308051,20754,628012,387479,240533,525036,1031731
1e+06,10,24,2183516,935982485,776552248,301690374,25082,626961,386396,240565,525036,1031519
1e+06,50,24,1786688,1866782912,1065434641,912375102,220889180,622175,208425,413750,132537,1031976
1e+06,50,24,1788891,1851610243,1073335855,906452455,216536321,620857,207104,413753,137538,1030496
1e+06,100,24,1747797,2219978758,1221993990,956764910,434958659,644545,197433,447112,71288,1031964
1e+06,100,24,1748089,2222061123,1222837438,963314021,433523336,643355,196234,447121,73163,1031571
1e+06,500,24,1720431,3420954778,1568404578,1007686260,1422495241,670476,189683,480793,16070,1033885
1e+06,500,24,1720363,3412679831,1588928988,1002128363,1406547603,671351,190527,480824,17243,1031769
1e+06,1000,24,1715730,4199551546,1722265403,1009807444,2110980261,675533,189505,486028,8813,1031384
1e+06,1000,24,1718199,4191924205,1721359849,1011090946,2108286955,676208,190185,486023,8875,1033116
1e+06,1500,24,1716341,4760440026,1783544827,1011431254,2646399084,678150,190005,488145,6007,1032184
1e+06,1500,24,1717150,4779588937,1784938885,1011190916,2663578715,677941,189807,488134,6091,1033118
1e+06,2000,24,1717017,5318408020,1855188253,1010317535,3173252586,679190,190394,488796,4551,1033276
1e+06,2000,24,1713945,5340771535,1857061950,1006100674,3197286590,678962,190148,488814,4540,1030443
1e+06,10,26,2185633,914312739,768858240,298509639,4639,628006,387477,240529,525036,1032591
1e+06,10,26,2183052,912050083,773860630,299250220,5469,626953,386394,240559,525036,1031063
1e+06,50,26,1751556,2257036042,1003988887,1122232271,460506556,586592,186662,399930,132537,1032427
1e+06,50,26,1755837,2238579008,1006067670,1118346317,455899032,585840,185785,400055,137538,1032459
1e+06,100,26,1694873,19523879284,1098822937,1206015903,17624951462,592869,158021,434848,71288,1030716
1e+06,100,26,1695208,19028570786,1096754062,1198133452,17134485637,590507,155558,434949,73163,1031538
1e+06,500,26,1659075,26438000842,1436145765,1267497954,24320338749,611341,148022,463319,16070,1031664
1e+06,500,26,1659569,26274766234,1447559231,1263821145,24168663060,610212,146889,463323,17243,1032114
1e+06,1000,26,1654138,29654616159,1618669555,1272805910,27469038254,613566,145210,468356,8813,1031759
1e+06,1000,26,1654822,29890431083,1623328063,1278446440,27695105488,613853,145453,468400,8875,1032094
1e+06,1500,26,1652489,30665527826,1699294022,1279892272,28422820550,614341,144324,470017,6007,1032141
1e+06,1500,26,1653413,31039259668,1687862821,1284457335,28805979892,615026,145034,469992,6091,1032296
1e+06,2000,26,1651499,30809344694,1766489216,1283692931,28534228289,615203,145032,470171,4551,1031745
1e+06,2000,26,1652206,31009117922,1768007502,1281740685,28735047565,615604,145462,470142,4540,1032062
1e+06,10,28,2185630,928976269,767556024,300129035,2479,628003,387473,240530,525036,1032591
1e+06,10,28,2184629,923397886,770446563,300489648,0,626944,386383,240561,525036,1032649
1e+06,50,28,1739523,2356454150,999353255,1374729790,319609050,574783,172949,401834,132537,1032203
1e+06,50,28,1744720,2356079960,1007569203,1368831662,318333615,574664,172800,401864,137538,1032518
1e+06,100,28,1678798,19067473510,1065442266,1514400918,16881841997,575928,134492,441436,71288,1031582
1e+06,100,28,1681205,19095647539,1060906910,1501545468,16921270106,575741,134192,441549,73163,1032301
1e+06,500,28,1644298,29167054930,1432776961,1615215058,26713847645,596399,123626,472773,16070,1031829
1e+06,500,28,1646046,28694616651,1447223004,1595466366,26257067488,595779,123048,472731,17243,1033024
1e+06,1000,28,1638637,33112635570,1604628836,1633418799,30575624445,597461,118460,479001,8813,1032363
1e+06,1000,28,1638221,33723057436,1599982476,1635380562,31182689393,597213,118183,479030,8875,1032133
